type,time,reclat,reclon,altitude (ft),eos,name,desc
T,10/12/2020 22:20,42.89962448,-78.87300954,663.8,1,,
T,10/13/2020 21:26,42.95033257,-78.82316991,683,1,,
T,10/15/2020 14:49,42.89950915,-78.873174,666.2,1,,
T,10/16/2020 13:17,42.95355406,-78.81944195,691.9,1,,
T,10/12/2020 22:20,42.89962092,-78.87296084,663.2,1,,
T,10/13/2020 21:26,42.95034757,-78.8231995,679.5,1,,
T,10/15/2020 14:55,42.89947172,-78.87320811,667.8,1,,
T,10/16/2020 13:17,42.95357279,-78.81945032,691.9,1,,
T,10/12/2020 22:20,42.89961794,-78.8728994,662.8,1,,
T,10/13/2020 21:26,42.95035557,-78.82321048,679.3,1,,
T,10/15/2020 15:03,42.89942847,-78.87322605,666.4,1,,
T,10/16/2020 13:18,42.95354775,-78.81944999,691.9,1,,
T,10/12/2020 22:20,42.89961007,-78.87287694,661.9,1,,
T,10/13/2020 21:26,42.95037112,-78.82322975,679.5,1,,
T,10/15/2020 16:38,42.89939507,-78.87321414,675.3,1,,
